Attr_id;Chapter_id;Chapter_name;Table_id;Table_name;Description;Goal;top_n_goal_id;top_n_similarities
28.0;1;General Information;1.6;Ration Shops And below poverty line Ration Card Holders on 31-03-2016 In Nos;Urban,Ration shops, Ration Shops And below poverty line Ration Card Holders on 31-03-2016 In Nos, General Information;End poverty in all its forms everywhere;1;1
29.0;1;General Information;1.6;Ration Shops And below poverty line Ration Card Holders on 31-03-2016 In Nos;Rural,Ration shops, Ration Shops And below poverty line Ration Card Holders on 31-03-2016 In Nos, General Information;End poverty in all its forms everywhere;1;1
30.0;1;General Information;1.6;Ration Shops And below poverty line Ration Card Holders on 31-03-2016 In Nos;Total,Ration shops, Ration Shops And below poverty line Ration Card Holders on 31-03-2016 In Nos, General Information;End poverty in all its forms everywhere;1;1
31.0;1;General Information;1.6;Ration Shops And below poverty line Ration Card Holders on 31-03-2016 In Nos;Urban,Anthyodaya,below poverty line Card Holders, Ration Shops And below poverty line Ration Card Holders on 31-03-2016 In Nos, General Information;End poverty in all its forms everywhere;1;1
32.0;1;General Information;1.6;Ration Shops And below poverty line Ration Card Holders on 31-03-2016 In Nos;Rural,Anthyodaya,below poverty line Card Holders, Ration Shops And below poverty line Ration Card Holders on 31-03-2016 In Nos, General Information;End poverty in all its forms everywhere;1;1
33.0;1;General Information;1.6;Ration Shops And below poverty line Ration Card Holders on 31-03-2016 In Nos;Total,Anthyodaya,below poverty line Card Holders, Ration Shops And below poverty line Ration Card Holders on 31-03-2016 In Nos, General Information;End poverty in all its forms everywhere;1;1
34.0;1;General Information;1.7;below poverty line Priority Card Holders on 31-03-2016 In Nos;Urban,Akshaya with cylinder,below poverty line Card Holders, below poverty line Priority Card Holders on 31-03-2016 In Nos, General Information;End poverty in all its forms everywhere;1;1
35.0;1;General Information;1.7;below poverty line Priority Card Holders on 31-03-2016 In Nos;Rural,Akshaya with cylinder,below poverty line Card Holders, below poverty line Priority Card Holders on 31-03-2016 In Nos, General Information;End poverty in all its forms everywhere;1;1
36.0;1;General Information;1.7;below poverty line Priority Card Holders on 31-03-2016 In Nos;Total,Akshaya with cylinder,below poverty line Card Holders, below poverty line Priority Card Holders on 31-03-2016 In Nos, General Information;End poverty in all its forms everywhere;1;1
37.0;1;General Information;1.7;below poverty line Priority Card Holders on 31-03-2016 In Nos;Urban,Akshaya without cylinder,below poverty line Card Holders, below poverty line Priority Card Holders on 31-03-2016 In Nos, General Information;End poverty in all its forms everywhere;1;1
38.0;1;General Information;1.7;below poverty line Priority Card Holders on 31-03-2016 In Nos;Rural,Akshaya without cylinder,below poverty line Card Holders, below poverty line Priority Card Holders on 31-03-2016 In Nos, General Information;End poverty in all its forms everywhere;1;1
39.0;1;General Information;1.7;below poverty line Priority Card Holders on 31-03-2016 In Nos;Total,Akshaya without cylinder,below poverty line Card Holders, below poverty line Priority Card Holders on 31-03-2016 In Nos, General Information;End poverty in all its forms everywhere;1;1
40.0;1;General Information;1.8;No.of above poverty line Non-Priority Card Holders on 31-03-2016 In Nos;Urban,With Cylinder,Apl Card Holders, No.of above poverty line Non-Priority Card Holders on 31-03-2016 In Nos, General Information;End poverty in all its forms everywhere;1;1
41.0;1;General Information;1.8;No.of above poverty line Non-Priority Card Holders on 31-03-2016 In Nos;Rural,With Cylinder,Apl Card Holders, No.of above poverty line Non-Priority Card Holders on 31-03-2016 In Nos, General Information;End poverty in all its forms everywhere;1;1
42.0;1;General Information;1.8;No.of above poverty line Non-Priority Card Holders on 31-03-2016 In Nos;Total,With Cylinder,Apl Card Holders, No.of above poverty line Non-Priority Card Holders on 31-03-2016 In Nos, General Information;End poverty in all its forms everywhere;1;1
43.0;1;General Information;1.8;No.of above poverty line Non-Priority Card Holders on 31-03-2016 In Nos;Urban,Without Cylinder,Apl Card Holders, No.of above poverty line Non-Priority Card Holders on 31-03-2016 In Nos, General Information;End poverty in all its forms everywhere;1;1
44.0;1;General Information;1.8;No.of above poverty line Non-Priority Card Holders on 31-03-2016 In Nos;Rural,Without Cylinder,Apl Card Holders, No.of above poverty line Non-Priority Card Holders on 31-03-2016 In Nos, General Information;End poverty in all its forms everywhere;1;1
45.0;1;General Information;1.8;No.of above poverty line Non-Priority Card Holders on 31-03-2016 In Nos;Total,Without Cylinder,Apl Card Holders, No.of above poverty line Non-Priority Card Holders on 31-03-2016 In Nos, General Information;End poverty in all its forms everywhere;1;1
207.0;4;Agriculture, Horticulture and Sericulture;4.3;Area under principal crops Year 2014-15;Total Food Grains,pulses Hect,Area under principal crops, Area under principal crops Year 2014-15, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;2
240.0;4;Agriculture, Horticulture and Sericulture;4.6;Production of Important Crop Year 2013-14 in Tonnes;Total Food Grains,Production of Pulses In Tonnes, Production of Important Crop Year 2013-14 in Tonnes, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;2
294.0;4;Agriculture, Horticulture and Sericulture;4.12;Yield of Important Crop Year 2013-14;Total Food Grains,Yield Of Pulses K.g Hect, Yield of Important Crop Year 2013-14, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;2
156.0;4;Agriculture, Horticulture and Sericulture;4.1;Land Utilisation in Hectares;Geo- graphical Area,Land Utilisation 2014-15, Land Utilisation in Hectares, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
157.0;4;Agriculture, Horticulture and Sericulture;4.1;Land Utilisation in Hectares;Forest,Land Utilisation 2014-15, Land Utilisation in Hectares, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
158.0;4;Agriculture, Horticulture and Sericulture;4.1;Land Utilisation in Hectares;Land put to Non- Agricultural uses,Land not available for cultivation,Land Utilisation 2014-15, Land Utilisation in Hectares, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
159.0;4;Agriculture, Horticulture and Sericulture;4.1;Land Utilisation in Hectares;Barren cultivable land,Land not available for cultivation,Land Utilisation 2014-15, Land Utilisation in Hectares, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
160.0;4;Agriculture, Horticulture and Sericulture;4.1;Land Utilisation in Hectares;Total,Land not available for cultivation,Land Utilisation 2014-15, Land Utilisation in Hectares, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
161.0;4;Agriculture, Horticulture and Sericulture;4.1;Land Utilisation in Hectares;Cultivable-waste,Other Uncultivated Land,Land Utilisation 2014-15, Land Utilisation in Hectares, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
162.0;4;Agriculture, Horticulture and Sericulture;4.1;Land Utilisation in Hectares;Permanent Pasture,Other Uncultivated Land,Land Utilisation 2014-15, Land Utilisation in Hectares, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
163.0;4;Agriculture, Horticulture and Sericulture;4.1;Land Utilisation in Hectares;Trees and Groves,Other Uncultivated Land,Land Utilisation 2014-15, Land Utilisation in Hectares, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
164.0;4;Agriculture, Horticulture and Sericulture;4.1;Land Utilisation in Hectares;Total,Other Uncultivated Land,Land Utilisation 2014-15, Land Utilisation in Hectares, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
165.0;4;Agriculture, Horticulture and Sericulture;4.1;Land Utilisation in Hectares;Current,Fallow Land,Land Utilisation 2014-15 in Hectares, Land Utilisation in Hectares, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
166.0;4;Agriculture, Horticulture and Sericulture;4.1;Land Utilisation in Hectares;Other,Fallow Land,Land Utilisation 2014-15 in Hectares, Land Utilisation in Hectares, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
167.0;4;Agriculture, Horticulture and Sericulture;4.1;Land Utilisation in Hectares;Total,Fallow Land,Land Utilisation 2014-15 in Hectares, Land Utilisation in Hectares, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
168.0;4;Agriculture, Horticulture and Sericulture;4.1;Land Utilisation in Hectares;Net,Area Sown,Land Utilisation 2014-15 in Hectares, Land Utilisation in Hectares, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
169.0;4;Agriculture, Horticulture and Sericulture;4.1;Land Utilisation in Hectares;More than once,Area Sown,Land Utilisation 2014-15 in Hectares, Land Utilisation in Hectares, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
170.0;4;Agriculture, Horticulture and Sericulture;4.1;Land Utilisation in Hectares;Total,Area Sown,Land Utilisation 2014-15 in Hectares, Land Utilisation in Hectares, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
171.0;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Length in KMs,Canals,2014-15 Net area irrigated Hectares, Gross and Net area Irrigated under Different Sources, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
172.0;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Gross Irrigated Area,Canals,2014-15 Net area irrigated Hectares, Gross and Net area Irrigated under Different Sources, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
173.0;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Net Area Irrigated,Canals,2014-15 Net area irrigated Hectares, Gross and Net area Irrigated under Different Sources, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
174.0;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Nos,Tanks,2014-15 Net area irrigated Hectares, Gross and Net area Irrigated under Different Sources, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
175.0;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Gross Irrigated Area,Tanks,2014-15 Net area irrigated Hectares, Gross and Net area Irrigated under Different Sources, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
176.0;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Net Area Irrigated,Tanks,2014-15 Net area irrigated Hectares, Gross and Net area Irrigated under Different Sources, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
177.0;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Nos,Wells,2014-15 Net area irrigated Hectares, Gross and Net area Irrigated under Different Sources, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
178.0;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Gross Irrigated Area,Wells,2014-15 Net area irrigated Hectares, Gross and Net area Irrigated under Different Sources, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
179.0;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Net Area Irrigated,Wells,2014-15 Net area irrigated Hectares, Gross and Net area Irrigated under Different Sources, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
180.0;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Nos,Tube Wells,Net area Irrigated under Different Sources, Gross and Net area Irrigated under Different Sources, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
181.0;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Gross Irrigated Area,Tube Wells,Net area Irrigated under Different Sources, Gross and Net area Irrigated under Different Sources, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
182.0;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Net Area Irrigated,Tube Wells,Net area Irrigated under Different Sources, Gross and Net area Irrigated under Different Sources, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
183.0;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Nos,Lift Irrigation,Net area Irrigated under Different Sources, Gross and Net area Irrigated under Different Sources, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
184.0;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Gross Irrigated Area,Lift Irrigation,Net area Irrigated under Different Sources, Gross and Net area Irrigated under Different Sources, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
185.0;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Net Area Irrigated,Lift Irrigation,Net area Irrigated under Different Sources, Gross and Net area Irrigated under Different Sources, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
186.0;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Gross Irrigated Area,Other Sources,Net area Irrigated under Different Sources, Gross and Net area Irrigated under Different Sources, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
187.0;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Net Area Irrigated,Other Sources,Net area Irrigated under Different Sources, Gross and Net area Irrigated under Different Sources, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
188.0;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Gross Irrigated Area,Total,Net area Irrigated under Different Sources, Gross and Net area Irrigated under Different Sources, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
189.0;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Net Area Irrigated,Total,Net area Irrigated under Different Sources, Gross and Net area Irrigated under Different Sources, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
190.0;4;Agriculture, Horticulture and Sericulture;4.3;Area under principal crops Year 2014-15;Paddy,Area under Cereals Hect.,Area under principal crops In Hect., Area under principal crops Year 2014-15, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
191.0;4;Agriculture, Horticulture and Sericulture;4.3;Area under principal crops Year 2014-15;Jowar,Area under Cereals Hect.,Area under principal crops In Hect., Area under principal crops Year 2014-15, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
192.0;4;Agriculture, Horticulture and Sericulture;4.3;Area under principal crops Year 2014-15;Bajra,Area under Cereals Hect.,Area under principal crops In Hect., Area under principal crops Year 2014-15, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
193.0;4;Agriculture, Horticulture and Sericulture;4.3;Area under principal crops Year 2014-15;Maize,Area under Cereals Hect.,Area under principal crops In Hect., Area under principal crops Year 2014-15, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
194.0;4;Agriculture, Horticulture and Sericulture;4.3;Area under principal crops Year 2014-15;Ragi,Area under Cereals Hect.,Area under principal crops In Hect., Area under principal crops Year 2014-15, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
195.0;4;Agriculture, Horticulture and Sericulture;4.3;Area under principal crops Year 2014-15;Wheat,Area under Cereals Hect.,Area under principal crops In Hect., Area under principal crops Year 2014-15, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
196.0;4;Agriculture, Horticulture and Sericulture;4.3;Area under principal crops Year 2014-15;Other Cereals Minor Millets,Area under Cereals Hect.,Area under principal crops In Hect., Area under principal crops Year 2014-15, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
197.0;4;Agriculture, Horticulture and Sericulture;4.3;Area under principal crops Year 2014-15;Total Cereals Minor millets,Area under Cereals Hect.,Area under principal crops In Hect., Area under principal crops Year 2014-15, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
198.0;4;Agriculture, Horticulture and Sericulture;4.3;Area under principal crops Year 2014-15.;Tur,pulses Hect,Area under principal crops, Area under principal crops Year 2014-15., Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
199.0;4;Agriculture, Horticulture and Sericulture;4.3;Area under principal crops Year 2014-15.;Horse Gram,pulses Hect,Area under principal crops, Area under principal crops Year 2014-15., Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
200.0;4;Agriculture, Horticulture and Sericulture;4.3;Area under principal crops Year 2014-15.;Black Gram,pulses Hect,Area under principal crops, Area under principal crops Year 2014-15., Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
201.0;4;Agriculture, Horticulture and Sericulture;4.3;Area under principal crops Year 2014-15.;Green Gram,pulses Hect,Area under principal crops, Area under principal crops Year 2014-15., Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
202.0;4;Agriculture, Horticulture and Sericulture;4.3;Area under principal crops Year 2014-15.;Avare,pulses Hect,Area under principal crops, Area under principal crops Year 2014-15., Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
203.0;4;Agriculture, Horticulture and Sericulture;4.3;Area under principal crops Year 2014-15.;Cowpea,pulses Hect,Area under principal crops, Area under principal crops Year 2014-15., Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
204.0;4;Agriculture, Horticulture and Sericulture;4.3;Area under principal crops Year 2014-15;Bengal Gram,pulses Hect,Area under principal crops, Area under principal crops Year 2014-15, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
205.0;4;Agriculture, Horticulture and Sericulture;4.3;Area under principal crops Year 2014-15;Others Pulses,pulses Hect,Area under principal crops, Area under principal crops Year 2014-15, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
206.0;4;Agriculture, Horticulture and Sericulture;4.3;Area under principal crops Year 2014-15;Total Pulses including Tur Bengalgram,pulses Hect,Area under principal crops, Area under principal crops Year 2014-15, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
208.0;4;Agriculture, Horticulture and Sericulture;4.3;Area under principal crops Year 2014-15;Area under Total Fruits,Area under principal crops, Area under principal crops Year 2014-15, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
209.0;4;Agriculture, Horticulture and Sericulture;4.3;Area under principal crops Year 2014-15;Area under Total Vegetables,Area under principal crops, Area under principal crops Year 2014-15, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
210.0;4;Agriculture, Horticulture and Sericulture;4.4;Area under Important Oil Seeds Year 2014-15;Ground Nut,Seeds Hect,Area under principal crops, Area under Important Oil Seeds Year 2014-15, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
211.0;4;Agriculture, Horticulture and Sericulture;4.4;Area under Important Oil Seeds Year 2014-15;Sun Flower,Seeds Hect,Area under principal crops, Area under Important Oil Seeds Year 2014-15, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
212.0;4;Agriculture, Horticulture and Sericulture;4.4;Area under Important Oil Seeds Year 2014-15;Safflower,Seeds Hect,Area under principal crops, Area under Important Oil Seeds Year 2014-15, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
213.0;4;Agriculture, Horticulture and Sericulture;4.4;Area under Important Oil Seeds Year 2014-15;Castor,Seeds Hect,Area under principal crops, Area under Important Oil Seeds Year 2014-15, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
214.0;4;Agriculture, Horticulture and Sericulture;4.4;Area under Important Oil Seeds Year 2014-15;Sesamum,Seeds Hect,Area under principal crops, Area under Important Oil Seeds Year 2014-15, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
215.0;4;Agriculture, Horticulture and Sericulture;4.4;Area under Important Oil Seeds Year 2014-15;Niger seed,Seeds Hect,Area under principal crops, Area under Important Oil Seeds Year 2014-15, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
216.0;4;Agriculture, Horticulture and Sericulture;4.4;Area under Important Oil Seeds Year 2014-15;Soyabean,Seeds Hect,Area under principal crops, Area under Important Oil Seeds Year 2014-15, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
217.0;4;Agriculture, Horticulture and Sericulture;4.4;Area under Important Oil Seeds Year 2014-15;Linseed,Seeds Hect,Area under principal crops, Area under Important Oil Seeds Year 2014-15, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
218.0;4;Agriculture, Horticulture and Sericulture;4.4;Area under Important Oil Seeds Year 2014-15;other oil Seeds,Seeds Hect,Area under principal crops, Area under Important Oil Seeds Year 2014-15, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
219.0;4;Agriculture, Horticulture and Sericulture;4.4;Area under Important Oil Seeds Year 2014-15;Total oil Seeds,Seeds Hect,Area under principal crops, Area under Important Oil Seeds Year 2014-15, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
220.0;4;Agriculture, Horticulture and Sericulture;4.5;Area under Commercial Crops Year 2014-15;Cotton,Area under Commercial Crops in Hectares, Area under Commercial Crops Year 2014-15, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
221.0;4;Agriculture, Horticulture and Sericulture;4.5;Area under Commercial Crops Year 2014-15;Sugar Cane,Area under Commercial Crops in Hectares, Area under Commercial Crops Year 2014-15, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
222.0;4;Agriculture, Horticulture and Sericulture;4.5;Area under Commercial Crops Year 2014-15;Tobacco,Area under Commercial Crops in Hectares, Area under Commercial Crops Year 2014-15, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
223.0;4;Agriculture, Horticulture and Sericulture;4.6;Production of Important Crops Year 2013-14 in Tonnes;Rice,Production of Cereals, Production of Important Crops Year 2013-14 in Tonnes, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
224.0;4;Agriculture, Horticulture and Sericulture;4.6;Production of Important Crops Year 2013-14 in Tonnes;Jowar,Production of Cereals, Production of Important Crops Year 2013-14 in Tonnes, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
225.0;4;Agriculture, Horticulture and Sericulture;4.6;Production of Important Crops Year 2013-14 in Tonnes;Bajra,Production of Cereals, Production of Important Crops Year 2013-14 in Tonnes, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
226.0;4;Agriculture, Horticulture and Sericulture;4.6;Production of Important Crops Year 2013-14 in Tonnes;Maize,Production of Cereals, Production of Important Crops Year 2013-14 in Tonnes, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
227.0;4;Agriculture, Horticulture and Sericulture;4.6;Production of Important Crops Year 2013-14 in Tonnes;Ragi,Production of Cereals, Production of Important Crops Year 2013-14 in Tonnes, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
228.0;4;Agriculture, Horticulture and Sericulture;4.6;Production of Important Crops Year 2013-14 in Tonnes;Wheat,Production of Cereals, Production of Important Crops Year 2013-14 in Tonnes, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
229.0;4;Agriculture, Horticulture and Sericulture;4.6;Production of Important Crops Year 2013-14 in Tonnes;Total Small Minor Millets,Production of Cereals, Production of Important Crops Year 2013-14 in Tonnes, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
230.0;4;Agriculture, Horticulture and Sericulture;4.6;Production of Important Crops Year 2013-14 in Tonnes;Total Cereals Minor Millets,Production of Cereals, Production of Important Crops Year 2013-14 in Tonnes, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
231.0;4;Agriculture, Horticulture and Sericulture;4.6;Production of Important Crop Year 2013-14 in Tonnes;Tur,Production of Pulses In Tonnes, Production of Important Crop Year 2013-14 in Tonnes, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
232.0;4;Agriculture, Horticulture and Sericulture;4.6;Production of Important Crop Year 2013-14 in Tonnes;Horse Gram,Production of Pulses In Tonnes, Production of Important Crop Year 2013-14 in Tonnes, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
233.0;4;Agriculture, Horticulture and Sericulture;4.6;Production of Important Crop Year 2013-14 in Tonnes;Black Gram,Production of Pulses In Tonnes, Production of Important Crop Year 2013-14 in Tonnes, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
234.0;4;Agriculture, Horticulture and Sericulture;4.6;Production of Important Crop Year 2013-14 in Tonnes;Green Gram,Production of Pulses In Tonnes, Production of Important Crop Year 2013-14 in Tonnes, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
235.0;4;Agriculture, Horticulture and Sericulture;4.6;Production of Important Crop Year 2013-14 in Tonnes;Avare,Production of Pulses In Tonnes, Production of Important Crop Year 2013-14 in Tonnes, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
