Attr_id;Chapter_id;Chapter_name;Table_id;Table_name;Description;Goal;top_n_goal_id
1376;14;Rural Development and Panchayat Raj;14.1;Skill Development and Self Employment at the end of 31-03-2020 Cumulative;Ddu-gky,Nrlm National Rural Livelihood Mission, Skill Development and Self Employment at the end of 31-03-2020 Cumulative, Rural Development and Panchayat Raj;End poverty in all its forms everywhere;1
1377;14;Rural Development and Panchayat Raj;14.1;Skill Development and Self Employment at the end of 31-03-2020 Cumulative;Cif Community Investment Fund to groups,Nrlm National Rural Livelihood Mission, Skill Development and Self Employment at the end of 31-03-2020 Cumulative, Rural Development and Panchayat Raj;End poverty in all its forms everywhere;1
1378;14;Rural Development and Panchayat Raj;14.1;Skill Development and Self Employment at the end of 31-03-2020 Cumulative;Employment through skill training placement Estp,Employment through Skill Training Placement Estp, Skill Development and Self Employment at the end of 31-03-2020 Cumulative, Rural Development and Panchayat Raj;End poverty in all its forms everywhere;1
1379;14;Rural Development and Panchayat Raj;14.1;Skill Development and Self Employment at the end of 31-03-2020 Cumulative;Persons Skilled,Self Employment Programme,Employment through Skill Training Placement Estp, Skill Development and Self Employment at the end of 31-03-2020 Cumulative, Rural Development and Panchayat Raj;End poverty in all its forms everywhere;1
1380;14;Rural Development and Panchayat Raj;14.1;Skill Development and Self Employment at the end of 31-03-2020 Cumulative;Groups Skilled,Self Employment Programme,Employment through Skill Training Placement Estp, Skill Development and Self Employment at the end of 31-03-2020 Cumulative, Rural Development and Panchayat Raj;End poverty in all its forms everywhere;1
1381;14;Rural Development and Panchayat Raj;14.1;Skill Development and Self Employment at the end of 31-03-2020 Cumulative;Chief Minister Kaushalya Karnataka Yojane Cmkky,Ksdc Karnataka Skill Development Corporation, Skill Development and Self Employment at the end of 31-03-2020 Cumulative, Rural Development and Panchayat Raj;End poverty in all its forms everywhere;1
1382;14;Rural Development and Panchayat Raj;14.1;Skill Development and Self Employment at the end of 31-03-2020 Cumulative;Women Groups,Ksdc Karnataka Skill Development Corporation, Skill Development and Self Employment at the end of 31-03-2020 Cumulative, Rural Development and Panchayat Raj;End poverty in all its forms everywhere;1
829;5;Fisheries;5.4;Fisheries 2019-20;Full Time,No of Families involved in fishing, Fisheries 2019-20, Fisheries;End poverty in all its forms everywhere;1
830;5;Fisheries;5.4;Fisheries 2019-20;Part Time,No of Families involved in fishing, Fisheries 2019-20, Fisheries;End poverty in all its forms everywhere;1
318;3;Rainfall;3.1;No. of Raingauge Stations Annual Normal Rainfall and Rainy Days;Working,Raingauge Stations, No. of Raingauge Stations Annual Normal Rainfall and Rainy Days, Rainfall;End poverty in all its forms everywhere;1
319;3;Rainfall;3.1;No. of Raingauge Stations Annual Normal Rainfall and Rainy Days;Under Repair,Raingauge Stations, No. of Raingauge Stations Annual Normal Rainfall and Rainy Days, Rainfall;End poverty in all its forms everywhere;1
321;3;Rainfall;3.1;No. of Raingauge Stations Annual Normal Rainfall and Rainy Days;Rainy Days,Annual Normal Rainfall 1961-2010, No. of Raingauge Stations Annual Normal Rainfall and Rainy Days, Rainfall;End poverty in all its forms everywhere;1
824;5;Fisheries;5.4;2018-19 Fisheries 2019-20;Capacity M.Tonnes day,Ice Plants, 2018-19 Fisheries 2019-20, Fisheries;End poverty in all its forms everywhere;1
826;5;Fisheries;5.4;2018-19 Fisheries 2019-20;Capacity M.Tonnes day,Cold storage Centres, 2018-19 Fisheries 2019-20, Fisheries;End poverty in all its forms everywhere;1
