Attr_id;Chapter_id;Chapter_name;Table_id;Table_name;Description;Goal;top_n_goal_id
1376;14;Rural Development and Panchayat Raj;14.1;Skill Development and Self Employment at the end of 31-03-2020 Cumulative;Ddu-gky,Nrlm National Rural Livelihood Mission, Skill Development and Self Employment at the end of 31-03-2020 Cumulative, Rural Development and Panchayat Raj;End poverty in all its forms everywhere;1
1377;14;Rural Development and Panchayat Raj;14.1;Skill Development and Self Employment at the end of 31-03-2020 Cumulative;Cif Community Investment Fund to groups,Nrlm National Rural Livelihood Mission, Skill Development and Self Employment at the end of 31-03-2020 Cumulative, Rural Development and Panchayat Raj;End poverty in all its forms everywhere;1
1378;14;Rural Development and Panchayat Raj;14.1;Skill Development and Self Employment at the end of 31-03-2020 Cumulative;Employment through skill training placement Estp,Employment through Skill Training Placement Estp, Skill Development and Self Employment at the end of 31-03-2020 Cumulative, Rural Development and Panchayat Raj;End poverty in all its forms everywhere;1
1379;14;Rural Development and Panchayat Raj;14.1;Skill Development and Self Employment at the end of 31-03-2020 Cumulative;Persons Skilled,Self Employment Programme,Employment through Skill Training Placement Estp, Skill Development and Self Employment at the end of 31-03-2020 Cumulative, Rural Development and Panchayat Raj;End poverty in all its forms everywhere;1
1380;14;Rural Development and Panchayat Raj;14.1;Skill Development and Self Employment at the end of 31-03-2020 Cumulative;Groups Skilled,Self Employment Programme,Employment through Skill Training Placement Estp, Skill Development and Self Employment at the end of 31-03-2020 Cumulative, Rural Development and Panchayat Raj;End poverty in all its forms everywhere;1
1381;14;Rural Development and Panchayat Raj;14.1;Skill Development and Self Employment at the end of 31-03-2020 Cumulative;Chief Minister Kaushalya Karnataka Yojane Cmkky,Ksdc Karnataka Skill Development Corporation, Skill Development and Self Employment at the end of 31-03-2020 Cumulative, Rural Development and Panchayat Raj;End poverty in all its forms everywhere;1
1382;14;Rural Development and Panchayat Raj;14.1;Skill Development and Self Employment at the end of 31-03-2020 Cumulative;Women Groups,Ksdc Karnataka Skill Development Corporation, Skill Development and Self Employment at the end of 31-03-2020 Cumulative, Rural Development and Panchayat Raj;End poverty in all its forms everywhere;1
24;1;General Information;1.6;Ration Shops and Ration Card (Below poverty line / Above poverty line)s on 31-3-2017 Cumulative;Urban,Ration shops, Ration Shops and Ration Card (Below poverty line / Above poverty line)s on 31-3-2017 Cumulative, General Information;End poverty in all its forms everywhere;1
25;1;General Information;1.6;Ration Shops and Ration Card (Below poverty line / Above poverty line)s on 31-3-2017 Cumulative;Rural,Ration shops, Ration Shops and Ration Card (Below poverty line / Above poverty line)s on 31-3-2017 Cumulative, General Information;End poverty in all its forms everywhere;1
26;1;General Information;1.6;Ration Shops and Ration Card (Below poverty line / Above poverty line)s on 31-3-2017 Cumulative;Total,Ration shops, Ration Shops and Ration Card (Below poverty line / Above poverty line)s on 31-3-2017 Cumulative, General Information;End poverty in all its forms everywhere;1
27;1;General Information;1.6;Ration Shops and Ration Card (Below poverty line / Above poverty line)s on 31-3-2017 Cumulative;Urban,Anthyodaya,Ration card holders, Ration Shops and Ration Card (Below poverty line / Above poverty line)s on 31-3-2017 Cumulative, General Information;End poverty in all its forms everywhere;1
28;1;General Information;1.6;Ration Shops and Ration Card (Below poverty line / Above poverty line)s on 31-3-2017 Cumulative;Rural,Anthyodaya,Ration card holders, Ration Shops and Ration Card (Below poverty line / Above poverty line)s on 31-3-2017 Cumulative, General Information;End poverty in all its forms everywhere;1
