Goal No.,Goal,Nodal Department,Targets,Other Related Major Departments,Tentative Indicators,Target_id,Indicator_id
14,"Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity
loss",Forestry & Wild Life,"14.9    By    2020,    integrate    ecosystem    and biodiversity values into national and local planning, development processes, poverty
reduction strategies and accounts.","Forestry  and  Wild Life, Environment and Scientific Technology.","14.9.1   Number   of   national   development plans    and    processes    integrating biodiversity and ecosystem services
values.",14.9,14.9.1
14,"Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity
loss",Forestry & Wild Life,"14.10    Mobilize    and    significantly    increase
financial  resources  from  all  sources  to conserve and sustainably use biodiversity and ecosystems.","Forestry  and  Wild
Life, Environment and Scientific Technology.","14.10.1 Official development assistance and
public  expenditure  on  conservation and  sustainable  use  of  biodiversity and ecosystems.",14.10,14.10.1
14,"Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity
loss",Forestry & Wild Life,"14.11   Mobilize   significant   resources   from  all sources   and   at   all   levels   to   finance sustainable     forest     management     and provide  adequate  incentives  to  advance such       management,       including       for
conservation and reforestation.","Forestry  and  Wild Life, Environment and  Scientific Technology.",14.11.1     Forestry     official     development assistance    and    forestry    foreign direct investment.,14.11,14.11.1
14,"Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity
loss",Forestry & Wild Life,"14.12   Enhance   global   support   for   efforts   to combat    poaching    and    trafficking    of protected species, including by increasing the   capacity   of   local   communities   to
pursue            sustainable            livelihood opportunities.",Forestry  and   Wild Life.,14.12.1   Proportion   of   detected   trade   in wildlife and wildlife products that is illegal.,14.12,14.12.1
15,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",Home,15.1  Significantly  reduce all  forms  of  violence and related death rates everywhere.,Home.,"15.1.1  Conflict-related  deaths  per  100,000 population   (disaggregated   by   age group, sex and cause).
",15.1,15.1.1
15,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",Home,15.1  Significantly  reduce all  forms  of  violence and related death rates everywhere.,Home.,"15.1.2    Percentage    of    the    population subjected to physical, psychological or  sexual  violence  in  the  previous 12 months.
",15.1,15.1.2
15,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",Home,15.1  Significantly  reduce all  forms  of  violence and related death rates everywhere.,Home.,"15.1.3  Proportion  of  people  that  feel  safe
walking alone around the area they live.",15.1,15.1.3
15,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",Home,"15.2 End abuse, exploitation, trafficking and all forms  of  violence  against  and  torture  of children.","Home, Women  and Child Development.","15.2.1  Percentage  of  children  aged  1-17 who    experienced    any    physical punishment    and/or    psychological aggression by caregivers in the past month.

",15.2,15.2.1
15,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",Home,"15.2 End abuse, exploitation, trafficking and all forms  of  violence  against  and  torture  of children.","Home, Women  and Child Development.","15.2.2    Number    of    victims    of    human trafficking  per  100,000  population, by   sex,   age   group   and   form   of exploitation.",15.2,15.2.2
15,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",Home,"15.2 End abuse, exploitation, trafficking and all forms  of  violence  against  and  torture  of children.","Home, Women  and Child Development.",15.2.3  Percentage  of  young  women  and men  aged  18-24  who  experienced sexual violence by age 18.,15.2,15.2.3
15,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",Home,15.3  Promote  the  rule  of  law  and  ensure equal access to justice for all.,Home.,"15.3.1 Percentage of victims of violence in the    previous    12    months    who reported     their     victimization     to competent     authorities     or     other officially       recognized       conflict resolution  mechanisms  (also  called crime reporting rate).
",15.3,15.3.1
15,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",Home,15.3  Promote  the  rule  of  law  and  ensure equal access to justice for all.,Home.,"15.3.2     Unsentenced     detainees     as     a percentage      of      overall      prison
population.",15.3,15.3.2
15,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",Home,"15.4    By    2030,    significantly    reduce    illicit financial  and  arms  flows,  strengthen  the recovery  and  return  of  stolen  assets  and combat all forms of organized crime.","Home, Excise  and Taxation .","15.4.1  Total  value  of  inward  and  outward illicit   financial   flows   (in   current United States dollars).
",15.4,15.4.1
15,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",Home,"15.4    By    2030,    significantly    reduce    illicit financial  and  arms  flows,  strengthen  the recovery  and  return  of  stolen  assets  and combat all forms of organized crime.","Home, Excise  and Taxation .","16.4.2 Percentage of seized small arms and light weapons that are recorded and traced,      in      accordance       with
international   standards   and   legal instruments.",15.4,16.4.2
15,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",Home,15.5 Substantially reduce corruption and bribery in all their forms.,Home.,"15.5.1  Percentage  of  persons  who  had  at least   one   contact   with   a   public official, who paid a bribe to a public official, or were asked for a bribe by these     public     officials,     in     the previous  12  months,  disaggregated
by   age   group,   sex,   region   and population group.",15.5,15.5.1
15,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",Home,"15.6    Develop    effective,    accountable    and transparent institutions at all levels.","Finance, Treasury  and Accounts, Administrative Reforms.","15.6.1 Primary government expenditures as a  percentage  of  original  approved budget,  disaggregated  by  sector  (or by budget codes or similar).
",15.6,15.6.1
15,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",Home,"15.6    Develop    effective,    accountable    and transparent institutions at all levels.","Finance, Treasury  and Accounts, Administrative Reforms.", 15.6.2    Proportion    of    the    population satisfied  with  their  last  experienceof public services.,15.6,
15,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",Home,"15.7 Ensure responsive, inclusive, participatory and  representative  decision-making  at  all levels.","Personnel, Elections, Administrative Reforms.","15.7.1   Proportions   of   positions   (by  age group, sex, persons with disabilities and   population   groups)   in   public institutions    (national    and    local legislatures,    public    service,    and
judiciary)    compared    to    national distributions.",15.7,15.7.1
15,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",Home,"15.8  By  2030,  provide  legal  identity  for  all, including birth registration.","Health and Family Welfare, Urban Development,
Panchayati Raj.","15.8.1   Percentage   of   children   under   5 whose  births  have  been  registered with a civil authority, disaggregated
by age.",15.8,15.8.1
15,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",Home,"15.9  Ensure  public  access  to  information  and protect      fundamental      freedoms,      in accordance  with  national  legislation  and international agreements.",Administrative Reforms.,"15.9.1  Percentage  of  RTI  cases  disposed off.
",15.9,15.9.1
15,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",Home,"15.9  Ensure  public  access  to  information  and protect      fundamental      freedoms,      in accordance  with  national  legislation  and international agreements.",Administrative Reforms.,15.9.2  Percentage  of  Govt.  Departments  / Organization  have  all  information on their websites.,15.9,15.9.2
16,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,Finance,"16.1 Strengthen domestic resource mobilization, including through international support to improve    capacity    for    tax    and    other revenue collection.",Finance.,16.1.1    Total    government    revenue    (by source) as a percentage of GDP.,16.1,16.1.1
16,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,Finance,16.2     Adopt     and     implement     investment promotion regimes.,Finance.,"16.2.1    Number    of    investment    policy reforms   adopted   that   incorporate sustainable  development  objectives
or safeguards.",16.2,16.2.1
16,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,Finance,"16.3   Enhance  cooperation   on   and   access  to science,  technology  and  innovation  and enhance  knowledge-sharing  on  mutually agreed terms, including through improved
coordination  among  existing  mechanisms and     through     a     global     technology facilitation mechanism.","Environment  and Scientific Technology, Information Technology.","16.3.1Fixed           Internet           broadband subscriptions, by speed.",16.3,16.3.1Fixed
16,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,Finance,"16.4    Promote    the    development,    transfer, dissemination        and        diffusion        of environmentally sound technologies.",Environment  and Scientific Technology.,"16.4.1  Total  amount  of  approved  funding to     promote     the     development, transfer,         dissemination         and diffusion  of  environmentally  sound
technologies.",16.4,16.4.1
16,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,Finance,"16.5  Fully  operationalize  the  technology  bank and  science,  technology  and  innovation capacity-building mechanism by 2017 and enhance the use of enabling technology, in
particular              information              and communications technology.","Environment  and Scientific Technology, Information Technology.",16.5.1  Proportion  of  individuals  using  the Internet.,16.5,16.5.1
17,"Data, monitoring and accountability",Finance,"17.1    By   2020,    enhance    capacity-building support    to    increase    significantly    the availability   of   high-quality,   timely   and reliable   data   disaggregated   by   income, gender,   age,   race,   ethnicity,   migratory status, disability, geographic location and other  characteristics  relevant  in  national
contexts.","Planning, Finance, Economic and Statistics.","17.1.1       Proportion       of       sustainable development indicators produced at the      state      level       with      full disaggregation when relevant to the target,    in    accordance    with    the Fundamental  Principles  of  Official Statistics.",17.1,17.1.1
17,"Data, monitoring and accountability",Finance,"17.2  By  2030,  build  on  existing  initiatives  to develop   measurements   of   progress   on sustainable development that complement
gross    domestic    product,    and    support statistical capacity-building.","Planning, Finance, Economic  and Statistics.","17.2.1 Dollar value of all resources made available   to   strengthen   statistical capacity.
",17.2,17.2.1
17,"Data, monitoring and accountability",Finance,"17.2  By  2030,  build  on  existing  initiatives  to develop   measurements   of   progress   on sustainable development that complement
gross    domestic    product,    and    support statistical capacity-building.","Planning, Finance, Economic  and Statistics.",17.2.2 Inclusive Wealth Index.,17.2,17.2.2
