Attr_id;Chapter_id;Chapter_name;Table_id;Table_name;Description;Goal;top_n_goal_id;top_n_similarities
28.0;1;General Information;1.6;Ration Shops And below poverty line Ration Card Holders on 31-3-2017 In Nos;Urban,Ration shops, Ration Shops And below poverty line Ration Card Holders on 31-3-2017 In Nos, General Information;End poverty in all its forms everywhere;1;1
29.0;1;General Information;1.6;Ration Shops And below poverty line Ration Card Holders on 31-3-2017 In Nos;Rural,Ration shops, Ration Shops And below poverty line Ration Card Holders on 31-3-2017 In Nos, General Information;End poverty in all its forms everywhere;1;1
30.0;1;General Information;1.6;Ration Shops And below poverty line Ration Card Holders on 31-3-2017 In Nos;Total,Ration shops, Ration Shops And below poverty line Ration Card Holders on 31-3-2017 In Nos, General Information;End poverty in all its forms everywhere;1;1
31.0;1;General Information;1.6;Ration Shops And below poverty line Ration Card Holders on 31-3-2017 In Nos;Urban,Anthyodaya,below poverty line Card Holders, Ration Shops And below poverty line Ration Card Holders on 31-3-2017 In Nos, General Information;End poverty in all its forms everywhere;1;1
32.0;1;General Information;1.6;Ration Shops And below poverty line Ration Card Holders on 31-3-2017 In Nos;Rural,Anthyodaya,below poverty line Card Holders, Ration Shops And below poverty line Ration Card Holders on 31-3-2017 In Nos, General Information;End poverty in all its forms everywhere;1;1
33.0;1;General Information;1.6;Ration Shops And below poverty line Ration Card Holders on 31-3-2017 In Nos;Total,Anthyodaya,below poverty line Card Holders, Ration Shops And below poverty line Ration Card Holders on 31-3-2017 In Nos, General Information;End poverty in all its forms everywhere;1;1
34.0;1;General Information;1.7;below poverty line Priority Card Holders on 31-3-2017 In Nos;Urban,Akshaya with cylinder,below poverty line Card Holders, below poverty line Priority Card Holders on 31-3-2017 In Nos, General Information;End poverty in all its forms everywhere;1;1
35.0;1;General Information;1.7;below poverty line Priority Card Holders on 31-3-2017 In Nos;Rural,Akshaya with cylinder,below poverty line Card Holders, below poverty line Priority Card Holders on 31-3-2017 In Nos, General Information;End poverty in all its forms everywhere;1;1
36.0;1;General Information;1.7;below poverty line Priority Card Holders on 31-3-2017 In Nos;Total,Akshaya with cylinder,below poverty line Card Holders, below poverty line Priority Card Holders on 31-3-2017 In Nos, General Information;End poverty in all its forms everywhere;1;1
37.0;1;General Information;1.7;below poverty line Priority Card Holders on 31-3-2017 In Nos;Urban,Akshaya without cylinder,below poverty line Card Holders, below poverty line Priority Card Holders on 31-3-2017 In Nos, General Information;End poverty in all its forms everywhere;1;1
38.0;1;General Information;1.7;below poverty line Priority Card Holders on 31-3-2017 In Nos;Rural,Akshaya without cylinder,below poverty line Card Holders, below poverty line Priority Card Holders on 31-3-2017 In Nos, General Information;End poverty in all its forms everywhere;1;1
39.0;1;General Information;1.7;below poverty line Priority Card Holders on 31-3-2017 In Nos;Total,Akshaya without cylinder,below poverty line Card Holders, below poverty line Priority Card Holders on 31-3-2017 In Nos, General Information;End poverty in all its forms everywhere;1;1
40.0;1;General Information;1.8;No.of above poverty line Non-Priority Card Holders on 31-3-2017 In Nos;Urban,With Cylinder,Apl Card Holders, No.of above poverty line Non-Priority Card Holders on 31-3-2017 In Nos, General Information;End poverty in all its forms everywhere;1;1
41.0;1;General Information;1.8;No.of above poverty line Non-Priority Card Holders on 31-3-2017 In Nos;Rural,With Cylinder,Apl Card Holders, No.of above poverty line Non-Priority Card Holders on 31-3-2017 In Nos, General Information;End poverty in all its forms everywhere;1;1
42.0;1;General Information;1.8;No.of above poverty line Non-Priority Card Holders on 31-3-2017 In Nos;Total,With Cylinder,Apl Card Holders, No.of above poverty line Non-Priority Card Holders on 31-3-2017 In Nos, General Information;End poverty in all its forms everywhere;1;1
43.0;1;General Information;1.8;No.of above poverty line Non-Priority Card Holders on 31-3-2017 In Nos;Urban,Without Cylinder,Apl Card Holders, No.of above poverty line Non-Priority Card Holders on 31-3-2017 In Nos, General Information;End poverty in all its forms everywhere;1;1
44.0;1;General Information;1.8;No.of above poverty line Non-Priority Card Holders on 31-3-2017 In Nos;Rural,Without Cylinder,Apl Card Holders, No.of above poverty line Non-Priority Card Holders on 31-3-2017 In Nos, General Information;End poverty in all its forms everywhere;1;1
45.0;1;General Information;1.8;No.of above poverty line Non-Priority Card Holders on 31-3-2017 In Nos;Total,Without Cylinder,Apl Card Holders, No.of above poverty line Non-Priority Card Holders on 31-3-2017 In Nos, General Information;End poverty in all its forms everywhere;1;1
207.0;4;Agriculture, Horticulture and Sericulture;4.3;Area under principal crops Year 2015-16;Total Food Grains,Pulses Hect,Area under principal crops, Area under principal crops Year 2015-16, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;2
240.0;4;Agriculture, Horticulture and Sericulture;4.6;Production of Important Crops Year Year 2014-15 Provision in Tonnes;Total Food Grains,Production of Pulses In Tonnes, Production of Important Crops Year Year 2014-15 Provision in Tonnes, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;2
294.0;4;Agriculture, Horticulture and Sericulture;4.12;Yield of Important Crops Year 2014-15 Provision;Total Food Grains,Yield Of Pulses K.g Hect, Yield of Important Crops Year 2014-15 Provision, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;2
156.0;4;Agriculture, Horticulture and Sericulture;4.1;Land Utilisation in Hectares;Geographical Area,Land Utilisation 2015-16, Land Utilisation in Hectares, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
157.0;4;Agriculture, Horticulture and Sericulture;4.1;Land Utilisation in Hectares;Forest,Land Utilisation 2015-16, Land Utilisation in Hectares, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
158.0;4;Agriculture, Horticulture and Sericulture;4.1;Land Utilisation in Hectares;Land put to Non- Agricultural uses,Land notavailable for cultivation,Land Utilisation 2015-16, Land Utilisation in Hectares, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
159.0;4;Agriculture, Horticulture and Sericulture;4.1;Land Utilisation in Hectares;Barren cultivable land,Land notavailable for cultivation,Land Utilisation 2015-16, Land Utilisation in Hectares, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
160.0;4;Agriculture, Horticulture and Sericulture;4.1;Land Utilisation in Hectares;Total,Land notavailable for cultivation,Land Utilisation 2015-16, Land Utilisation in Hectares, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
161.0;4;Agriculture, Horticulture and Sericulture;4.1;Land Utilisation in Hectares;Cultivable- waste,Other Uncultivated Land,Land Utilisation 2015-16, Land Utilisation in Hectares, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
162.0;4;Agriculture, Horticulture and Sericulture;4.1;Land Utilisation in Hectares;Permanent Pasture,Other Uncultivated Land,Land Utilisation 2015-16, Land Utilisation in Hectares, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
163.0;4;Agriculture, Horticulture and Sericulture;4.1;Land Utilisation in Hectares;Trees and Groves,Other Uncultivated Land,Land Utilisation 2015-16, Land Utilisation in Hectares, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
164.0;4;Agriculture, Horticulture and Sericulture;4.1;Land Utilisation in Hectares;Total,Other Uncultivated Land,Land Utilisation 2015-16, Land Utilisation in Hectares, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
165.0;4;Agriculture, Horticulture and Sericulture;4.1;Land Utilisation in Hectares;Current,Fallow Land,Land Utilisation 2015-16 in Hectares, Land Utilisation in Hectares, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
166.0;4;Agriculture, Horticulture and Sericulture;4.1;Land Utilisation in Hectares;Other,Fallow Land,Land Utilisation 2015-16 in Hectares, Land Utilisation in Hectares, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
167.0;4;Agriculture, Horticulture and Sericulture;4.1;Land Utilisation in Hectares;Total,Fallow Land,Land Utilisation 2015-16 in Hectares, Land Utilisation in Hectares, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
168.0;4;Agriculture, Horticulture and Sericulture;4.1;Land Utilisation in Hectares;Net,Area Sown,Land Utilisation 2015-16 in Hectares, Land Utilisation in Hectares, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
169.0;4;Agriculture, Horticulture and Sericulture;4.1;Land Utilisation in Hectares;More than once,Area Sown,Land Utilisation 2015-16 in Hectares, Land Utilisation in Hectares, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
170.0;4;Agriculture, Horticulture and Sericulture;4.1;Land Utilisation in Hectares;Total,Area Sown,Land Utilisation 2015-16 in Hectares, Land Utilisation in Hectares, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
171.0;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Length in KMs,Canals,2015-16 Net area irrigated Hectares, Gross and Net area Irrigated under Different Sources, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
172.0;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Gross Irrigated Area,Canals,2015-16 Net area irrigated Hectares, Gross and Net area Irrigated under Different Sources, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
173.0;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Net Area Irrigated,Canals,2015-16 Net area irrigated Hectares, Gross and Net area Irrigated under Different Sources, Agriculture, Horticulture and Sericulture;End hunger, achieve food security and improved nutrition and promote sustainable agriculture;2;1
